ID,Ссылка,Кол-во лайков,Кол-во просмотров,Кол-во комментов,Дата публикации
245,https://vk.com/imct_fefu?w=wall-206944280_245,8,346,4,16-06-2022 05:47
243,https://vk.com/imct_fefu?w=wall-206944280_243,10,415,0,15-06-2022 08:17
234,https://vk.com/imct_fefu?w=wall-206944280_234,19,821,7,12-06-2022 01:12
233,https://vk.com/imct_fefu?w=wall-206944280_233,9,464,0,11-06-2022 00:00
228,https://vk.com/imct_fefu?w=wall-206944280_228,14,622,3,10-06-2022 01:02
227,https://vk.com/imct_fefu?w=wall-206944280_227,12,400,0,07-06-2022 23:23
226,https://vk.com/imct_fefu?w=wall-206944280_226,10,480,0,07-06-2022 11:30
224,https://vk.com/imct_fefu?w=wall-206944280_224,9,350,0,06-06-2022 06:13
223,https://vk.com/imct_fefu?w=wall-206944280_223,7,545,0,01-06-2022 08:34
222,https://vk.com/imct_fefu?w=wall-206944280_222,26,778,0,31-05-2022 05:00
220,https://vk.com/imct_fefu?w=wall-206944280_220,26,764,0,30-05-2022 08:00
219,https://vk.com/imct_fefu?w=wall-206944280_219,25,760,0,30-05-2022 02:00
216,https://vk.com/imct_fefu?w=wall-206944280_216,24,794,2,29-05-2022 02:00
214,https://vk.com/imct_fefu?w=wall-206944280_214,30,898,1,29-05-2022 00:00
213,https://vk.com/imct_fefu?w=wall-206944280_213,25,861,0,28-05-2022 02:00
212,https://vk.com/imct_fefu?w=wall-206944280_212,15,687,0,27-05-2022 02:00
210,https://vk.com/imct_fefu?w=wall-206944280_210,15,769,1,26-05-2022 08:00
208,https://vk.com/imct_fefu?w=wall-206944280_208,11,546,0,26-05-2022 05:15
207,https://vk.com/imct_fefu?w=wall-206944280_207,5,551,0,26-05-2022 00:19
206,https://vk.com/imct_fefu?w=wall-206944280_206,11,564,0,25-05-2022 22:54
202,https://vk.com/imct_fefu?w=wall-206944280_202,23,691,0,25-05-2022 02:00
201,https://vk.com/imct_fefu?w=wall-206944280_201,7,721,0,25-05-2022 00:00
191,https://vk.com/imct_fefu?w=wall-206944280_191,20,827,7,24-05-2022 02:00
188,https://vk.com/imct_fefu?w=wall-206944280_188,18,600,0,24-05-2022 00:00
165,https://vk.com/imct_fefu?w=wall-206944280_165,20,786,6,23-05-2022 02:00
164,https://vk.com/imct_fefu?w=wall-206944280_164,13,645,0,22-05-2022 02:50
162,https://vk.com/imct_fefu?w=wall-206944280_162,18,767,15,22-05-2022 02:00
161,https://vk.com/imct_fefu?w=wall-206944280_161,19,752,1,21-05-2022 02:00
159,https://vk.com/imct_fefu?w=wall-206944280_159,27,818,0,20-05-2022 02:00
158,https://vk.com/imct_fefu?w=wall-206944280_158,21,804,0,19-05-2022 02:00
157,https://vk.com/imct_fefu?w=wall-206944280_157,22,917,0,18-05-2022 02:00
156,https://vk.com/imct_fefu?w=wall-206944280_156,19,779,0,17-05-2022 09:20
142,https://vk.com/imct_fefu?w=wall-206944280_142,1,508,0,17-05-2022 02:17
140,https://vk.com/imct_fefu?w=wall-206944280_140,4,492,0,16-05-2022 05:41
138,https://vk.com/imct_fefu?w=wall-206944280_138,11,737,0,13-05-2022 10:30
135,https://vk.com/imct_fefu?w=wall-206944280_135,8,735,0,13-05-2022 00:50
134,https://vk.com/imct_fefu?w=wall-206944280_134,23,1157,1,11-05-2022 01:23
133,https://vk.com/imct_fefu?w=wall-206944280_133,7,532,0,09-05-2022 23:00
126,https://vk.com/imct_fefu?w=wall-206944280_126,21,1001,4,07-05-2022 02:00
108,https://vk.com/imct_fefu?w=wall-206944280_108,38,2250,16,04-05-2022 09:09
107,https://vk.com/imct_fefu?w=wall-206944280_107,17,1205,0,28-04-2022 02:00
105,https://vk.com/imct_fefu?w=wall-206944280_105,15,851,0,27-04-2022 04:19
102,https://vk.com/imct_fefu?w=wall-206944280_102,7,626,0,22-04-2022 01:32
97,https://vk.com/imct_fefu?w=wall-206944280_97,18,792,4,19-04-2022 08:17
96,https://vk.com/imct_fefu?w=wall-206944280_96,10,922,0,18-04-2022 09:30
93,https://vk.com/imct_fefu?w=wall-206944280_93,2,537,0,12-04-2022 11:36
91,https://vk.com/imct_fefu?w=wall-206944280_91,16,944,1,06-04-2022 12:43
90,https://vk.com/imct_fefu?w=wall-206944280_90,4,736,0,03-04-2022 11:15
85,https://vk.com/imct_fefu?w=wall-206944280_85,21,949,2,30-03-2022 05:25
83,https://vk.com/imct_fefu?w=wall-206944280_83,38,2308,2,24-03-2022 07:00
81,https://vk.com/imct_fefu?w=wall-206944280_81,6,985,0,22-03-2022 10:41
80,https://vk.com/imct_fefu?w=wall-206944280_80,8,735,0,20-03-2022 09:00
79,https://vk.com/imct_fefu?w=wall-206944280_79,8,696,0,20-03-2022 06:00
74,https://vk.com/imct_fefu?w=wall-206944280_74,7,823,1,20-03-2022 02:48
73,https://vk.com/imct_fefu?w=wall-206944280_73,5,761,0,15-03-2022 06:35
72,https://vk.com/imct_fefu?w=wall-206944280_72,21,1008,0,26-02-2022 05:00
70,https://vk.com/imct_fefu?w=wall-206944280_70,2,616,0,24-02-2022 03:04
69,https://vk.com/imct_fefu?w=wall-206944280_69,1,687,0,24-02-2022 03:02
66,https://vk.com/imct_fefu?w=wall-206944280_66,25,1194,1,20-02-2022 08:00
64,https://vk.com/imct_fefu?w=wall-206944280_64,15,943,0,18-02-2022 09:30
63,https://vk.com/imct_fefu?w=wall-206944280_63,1,616,0,18-02-2022 08:52
60,https://vk.com/imct_fefu?w=wall-206944280_60,3,567,0,10-02-2022 05:36
59,https://vk.com/imct_fefu?w=wall-206944280_59,5,739,0,05-02-2022 09:54
58,https://vk.com/imct_fefu?w=wall-206944280_58,20,1408,1,02-02-2022 08:00
55,https://vk.com/imct_fefu?w=wall-206944280_55,21,1693,0,28-01-2022 22:58
54,https://vk.com/imct_fefu?w=wall-206944280_54,2,614,0,28-01-2022 11:36
52,https://vk.com/imct_fefu?w=wall-206944280_52,2,549,0,27-01-2022 09:57
51,https://vk.com/imct_fefu?w=wall-206944280_51,4,689,0,25-01-2022 05:19
50,https://vk.com/imct_fefu?w=wall-206944280_50,5,786,0,01-01-2022 07:36
49,https://vk.com/imct_fefu?w=wall-206944280_49,21,785,0,31-12-2021 12:00
47,https://vk.com/imct_fefu?w=wall-206944280_47,14,897,0,23-12-2021 00:00
45,https://vk.com/imct_fefu?w=wall-206944280_45,19,886,0,20-12-2021 09:30
44,https://vk.com/imct_fefu?w=wall-206944280_44,6,648,0,20-12-2021 08:00
41,https://vk.com/imct_fefu?w=wall-206944280_41,3,611,0,18-12-2021 08:00
39,https://vk.com/imct_fefu?w=wall-206944280_39,2,400,0,17-12-2021 02:47
38,https://vk.com/imct_fefu?w=wall-206944280_38,2,537,0,17-12-2021 02:44
37,https://vk.com/imct_fefu?w=wall-206944280_37,3,753,0,15-12-2021 11:03
36,https://vk.com/imct_fefu?w=wall-206944280_36,6,410,0,15-12-2021 09:59
34,https://vk.com/imct_fefu?w=wall-206944280_34,38,1078,0,09-12-2021 05:00
33,https://vk.com/imct_fefu?w=wall-206944280_33,4,617,0,09-12-2021 03:29
31,https://vk.com/imct_fefu?w=wall-206944280_31,5,649,0,07-12-2021 11:55
29,https://vk.com/imct_fefu?w=wall-206944280_29,3,577,0,06-12-2021 07:17
28,https://vk.com/imct_fefu?w=wall-206944280_28,6,744,0,06-12-2021 01:06
27,https://vk.com/imct_fefu?w=wall-206944280_27,13,1156,0,25-11-2021 09:15
25,https://vk.com/imct_fefu?w=wall-206944280_25,17,894,0,24-11-2021 02:27
24,https://vk.com/imct_fefu?w=wall-206944280_24,8,773,0,24-11-2021 01:30
22,https://vk.com/imct_fefu?w=wall-206944280_22,8,692,0,23-11-2021 11:05
21,https://vk.com/imct_fefu?w=wall-206944280_21,2,745,0,19-11-2021 10:25
20,https://vk.com/imct_fefu?w=wall-206944280_20,10,989,0,16-11-2021 02:33
17,https://vk.com/imct_fefu?w=wall-206944280_17,7,1245,1,12-11-2021 01:48
16,https://vk.com/imct_fefu?w=wall-206944280_16,2,884,0,10-11-2021 10:09
12,https://vk.com/imct_fefu?w=wall-206944280_12,28,1974,2,03-11-2021 04:41
9,https://vk.com/imct_fefu?w=wall-206944280_9,4,1212,0,18-10-2021 07:12
8,https://vk.com/imct_fefu?w=wall-206944280_8,4,1007,0,17-10-2021 05:39
7,https://vk.com/imct_fefu?w=wall-206944280_7,35,1585,0,17-10-2021 02:48
5,https://vk.com/imct_fefu?w=wall-206944280_5,20,2107,0,08-09-2021 00:00
4,https://vk.com/imct_fefu?w=wall-206944280_4,17,1461,0,07-09-2021 23:45
